,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AH,136,133,126,130,116,132,128,121,140,129,131,89,111,103,110,98,77,69,48,45,30
AZ,10,7,8,5,8,10,8,5,3,3,7,7,6,6,6,7,7,6,9,7,8
BA,150,202,219,198,221,185,200,193,181,166,171,160,163,123,95,96,96,84,87,63,51
BZ,168,293,289,279,301,273,303,258,288,262,246,220,210,192,173,144,135,143,120,112,69
CE,13,5,12,14,18,18,19,29,33,39,34,38,32,35,31,20,18,15,14,17,7
CP,0,0,0,0,0,1,2,2,2,1,3,3,1,0,0,0,0,0,1,1,0
GE,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,3,2,3,2,2
GH,208,206,216,182,171,185,211,186,174,190,161,112,106,105,94,90,84,77,56,59,50
IB,59,60,70,74,76,70,67,71,88,105,98,93,99,97,102,103,95,110,101,83,52
IG,28,37,31,55,59,69,61,57,67,55,44,52,44,39,39,43,48,41,44,33,21
IW,132,114,108,99,89,79,89,71,83,84,93,68,58,49,50,45,42,56,47,31,21
LG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,83
MA,0,0,0,0,0,0,0,0,3,3,4,0,0,4,4,0,3,2,4,0,0
PH,127,123,132,125,117,101,114,109,122,110,101,100,72,72,77,71,57,58,59,43,32
PO,2,3,6,6,6,5,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0
PP,0,0,0,0,0,1,1,2,1,2,2,4,1,1,3,1,3,7,8,2,2
PQ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0
RR,307,273,308,325,299,336,333,299,307,326,285,258,222,174,189,188,186,162,150,139,86
SA,211,199,213,227,167,196,169,167,163,143,187,118,145,97,105,110,92,73,88,87,52
SD,56,57,75,87,89,82,88,78,53,53,60,55,59,49,48,44,41,36,28,19,8
SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SL,6,11,8,10,15,9,16,8,7,11,11,5,3,1,0,0,0,0,1,1,0
SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,49
SN,0,0,0,0,0,0,0,0,0,0,0,0,436,391,385,442,444,432,426,418,243
SW,0,0,0,0,0,0,0,0,0,33,125,109,104,75,70,69,75,73,66,57,58
WH,1028,968,981,1018,1020,1015,997,1019,987,935,817,780,662,648,678,598,555,489,465,386,200
,2641,2691,2802,2834,2772,2767,2809,2677,2706,2655,2581,2272,2535,2262,2259,2170,2061,1937,1825,1731,1131
