,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AH,47,34,33,48,29,49,36,43,53,41,44,21,43,47,64,66,20,29,15,29,14
AZ,3,1,3,0,3,1,2,0,1,1,3,2,1,2,1,3,3,2,2,1,5
BA,82,51,70,54,66,35,73,45,53,39,44,46,47,31,24,52,39,34,38,15,23
BZ,114,113,92,98,113,92,108,92,119,86,76,75,86,75,58,59,69,75,52,50,33
CE,13,0,8,5,6,4,6,11,7,11,10,3,8,10,4,1,5,3,6,6,0
CP,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,2,0,0
GE,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,3,1,3,1,1
GH,64,87,101,53,53,64,78,58,80,71,53,29,42,39,34,44,34,35,14,27,27
IB,14,17,23,17,23,12,18,26,29,32,23,26,24,31,32,31,25,32,21,32,13
IG,12,17,11,31,24,34,35,14,28,10,16,11,6,19,7,23,10,10,9,8,5
IW,53,33,32,43,33,27,20,27,38,33,38,20,29,18,19,2,21,36,20,13,8
LG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,55
MA,0,0,0,0,0,0,0,0,3,0,3,0,0,2,3,0,2,0,5,0,0
PH,26,25,34,31,36,30,36,20,25,17,24,24,10,12,13,30,12,11,20,12,6
PO,2,1,3,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
PP,0,0,0,0,0,0,0,2,1,2,2,4,0,0,2,0,3,6,2,1,2
PQ,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,2,0,0,3
RR,103,83,115,111,105,111,121,88,104,103,87,78,77,63,79,94,67,54,64,58,40
SA,77,71,78,79,39,62,52,55,61,46,79,33,59,59,50,84,50,39,47,70,26
SD,16,22,33,30,34,22,26,17,17,21,19,18,30,21,9,16,14,18,17,13,7
SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SL,3,4,1,4,5,0,6,1,4,5,1,0,2,0,0,1,0,2,1,0,0
SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,34
SN,0,0,0,0,0,0,0,0,0,0,0,0,437,266,251,171,0,0,0,0,0
SW,0,0,0,0,0,0,0,0,0,33,95,30,28,21,34,38,38,35,29,36,31
WH,297,259,282,303,299,316,302,275,291,254,228,215,188,206,216,194,207,177,167,130,89
,926,818,919,908,868,861,921,775,916,807,848,636,1120,924,901,910,622,601,534,629,425
