,TCP,CPX,CPX2,Total Single Titles,FCH,LCM,LCM,LCM,LCM,LCM,LCM,LCM,LCM,LCM,LCM,LCM 11,Total Regular
,,,,,,,2,3,4,5,6,7,8,9,10,,Titles
Afghan Hounds,,,,,4,,,,,,,,,,,,4
Azawakhs,,,,,,,,,,,,,,,,,
Basenji,,,,,4,,2,,1,,,,,1,,,8
Borzoi,,,,,5,2,1,,,,,,,,,,8
Galgo Espanol,,,,,,,,,,,,,,,,,
Greyhounds,,,,,,4,,,,,,,,,,,4
Ibizan Hounds,,,,,8,,,,,,,,,,,,8
Irish Wolfhounds,,,,,,,,,,,,,,,,,
Italian Greyhound,,,,,1,,1,,,,,,,,,,2
Peruvian Inca Orchids,,,,,,,,,,,,,,,,,
Pharaoh Hounds,,,,,6,1,,,,,,,,,,,7
Rhodesian Ridgebacks,,,,,8,1,1,2,1,,,,,,,,13
Saluki,2,,,2,6,,,,,,,,,,,,6
Scottish Deerhounds,,,,,,,,,,,,,,,,,
Silken Windhound,,,,,8,1,,,,,,,,,,,9
Sloughi,,,,,,,,,,,,,,,,,
Whippets,1,,,1,17,3,1,1,,,,,,,,,20
Total of all Breeds,,,,,,,,,,,,,,,,,
