Breed,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Diff
AH,767,614,630,756,552,677,547,514,598,619,646,508,411,498,499,560,410,297,188,228,84,-144
AZ,40,37,30,15,26,61,15,30,26,36,47,70,40,46,14,25,55,49,42,45,33,-12
BA,1512,1088,1158,981,1201,862,792,836,701,769,838,676,710,665,555,732,631,641,459,403,223,-180
BZ,1362,1596,1711,1399,2116,1770,1408,1107,1341,1291,1235,907,667,800,693,544,549,739,613,519,328,-191
CE,54,19,24,53,60,41,61,150,166,230,166,130,134,180,145,63,59,84,57,37,11,26
CP,0,0,0,0,0,1,2,3,5,1,4,8,1,0,0,0,0,0,3,2,0,-2
GE,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,17,13,9,12,16,4
GH,1426,1200,1332,1206,999,1029,1043,1028,934,924,676,568,488,429,439,357,380,356,318,324,208,-116
IB,426,467,552,530,473,388,465,760,723,887,789,733,553,481,512,511,576,614,494,276,228,-48
IG,165,237,312,459,480,470,451,303,318,248,253,260,224,155,268,303,365,233,195,69,79,10
IW,595,486,489,486,329,242,292,285,364,336,309,219,190,126,132,144,144,152,154,103,60,-43
LG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,218,-12
MA,0,0,0,0,0,0,0,0,5,4,11,0,0,6,4,0,3,2,5,0,0,0
PH,899,762,879,757,648,466,537,570,648,565,545,604,473,282,298,375,238,211,252,185,159,-26
PO,9,9,43,21,15,13,6,4,6,10,0,2,0,0,0,0,0,0,0,0,0,0
PP,0,0,0,0,0,3,1,2,4,2,3,13,10,11,11,4,12,54,48,10,2,-8
PQ,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,0,0,0,0,0
RR,1587,1464,1538,1688,1525,1609,1349,1329,1518,1453,1129,1162,1127,970,940,917,810,1004,882,678,453,-225
SA,1388,1188,1221,1265,894,945,810,634,726,753,872,630,745,448,544,424,578,537,441,323,241,-82
SD,200,236,412,448,459,364,396,258,134,225,187,264,167,147,147,138,174,119,74,38,16,-22
SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,
SL,7,48,18,44,51,44,64,10,9,28,28,15,6,6,0,0,0,0,1,3,0,-3
SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,149,43
SN,0,0,0,0,0,0,0,0,0,0,0,0,932,821,784,1036,1086,951,926,920,492,-428
SW,0,0,0,0,0,0,0,0,0,61,655,599,618,385,368,348,305,351,289,274,235,-39
WH,6783,6106,6327,5750,5415,5653,5136,4947,4421,4752,4219,4044,3135,3186,3131,2753,2575,1957,1717,1346,592,-754
Total entries,17220,15557,16676,15858,15243,14638,13375,12770,12649,13198,12614,11412,10632,9645,9484,9235,8971,8364,7167,6131,3859,-2272
Non Count,199,98,118,100,273,82,46,64,55,62,74,55,82,130,151,43,47,103,36,48,15,-33
