,VFCH,VLCM,VLCM ,VLCM,VLCM,Total Vet,Total Regular,Single Titles,Total 
,,,2,3,4,Titles,Titles,,Titles
Afghan Hounds,,,,,,,,,
Azawakhs,,,,,,,,,
Basenji,,,,,,,,,
Borzoi,1,1,,,,,,,2
Cirneco Dell’Etna,,,,,,,,,
Greyhounds,,,,,,,,,
Ibizan Hounds,,,,,,,,,
Irish Wolfhounds,,,,,,,,,
Italian Greyhound,,,,,,,,,
Peruvian Inca Orchids,,,,,,,,,
Pharaoh Hounds,,,,,,,,,
Rhodesian Ridgebacks,2,2,,1,,,,,5
Saluki,1,,,,,,,,1
Scottish Deerhounds,,,,,,,,,
Silken Windhounds,,,,,,,,,
Sloughi,,,,,,,,,
Whippets,2,,,,,,,,2
Total Vet Titles,,,,,,,,,10
,LCI,LCC,LCA,,,,,,
LCI Large,5,7,2,,,,,,14
LCI Small,6,3,1,,,,,,10
LCI Sighthound,,,2,,,,,,2
