Year,Region,AH,AZ,BA,BZ,CE,CP,GE,GH,IB,IG,IW,LG,MA,PH,PO,PP,PQ,RR,SA,SD,SH,SL,SM,SN,SW,WH,Total,II
2003,1,1,0,126,68,1,0,0,53,58,0,43,,0,31,0,0,,89,42,38,,0,,,,426,976,
2004,1,10,0,231,37,3,0,0,58,53,7,33,,0,39,0,0,,123,22,42,,0,,,,357,1015,
2005,1,9,0,168,33,2,0,0,72,50,30,23,,0,10,0,0,,128,56,12,,1,,,,312,906,
2006,1,5,0,170,37,9,0,0,77,36,24,14,,0,33,0,0,,74,14,32,,4,,,,204,733,
2007,1,9,0,94,26,25,0,0,65,50,49,19,,0,25,0,0,,32,55,10,,2,,,,295,756,
2008,1,3,0,58,39,30,0,0,26,107,54,27,,0,39,0,4,,122,27,21,,3,,,,284,844,
2009,1,1,0,44,37,37,0,0,15,87,41,32,,0,41,0,0,,64,18,12,,2,,,0,156,587,
2010,1,0,0,99,26,29,0,0,11,103,17,29,,2,28,0,1,,105,9,25,,0,,,90,107,681,
2011,1,6,0,114,22,50,0,0,16,69,17,17,,0,45,0,2,,127,3,19,,0,,,106,131,744,
2012,1,0,0,100,38,30,0,0,39,51,9,6,,0,19,0,0,0,59,4,20,,0,,64,109,80,628,
2013,1,15,0,86,16,28,0,0,16,40,5,15,,0,20,0,0,0,26,8,12,,0,,54,111,90,542,
2014,1,4,0,80,9,10,0,0,11,28,25,6,,0,28,0,0,0,47,15,0,,0,,52,122,85,522,
2015,1,6,0,149,23,29,0,0,22,41,45,33,,0,108,0,0,0,99,36,7,,0,,102,162,159,1021,*
2016,1,0,0,117,12,20,0,0,9,24,62,35,,0,30,0,0,0,47,32,2,,0,,71,119,104,684,
2017,1,0,0,45,18,11,0,0,11,17,57,25,,0,21,0,0,2,22,12,1,,0,,54,153,61,510,
2018,1,0,0,64,21,17,0,0,9,26,28,28,,0,40,0,0,0,17,29,0,,0,,81,134,76,570,
2019,1,1,0,25,11,17,0,0,1,13,21,15,0,0,7,0,0,0,6,8,1,,0,0,39,82,40,287,
2020,1,1,17,28,11,8,0,0,20,8,50,8,0,0,4,0,0,0,10,13,0,0,0,0,46,107,29,360,
