Year,Region,AH,AZ,BA,BZ,CE,CP,GE,GH,IB,IG,IW,LG,MA,PH,PO,PP,PQ,RR,SA,SD,SH,SL,SM,SN,SW,WH,Total,II
2003,10,14,0,39,29,0,0,0,53,31,10,38,,0,6,0,0,,30,18,4,,0,,,,203,475,
2004,10,8,0,40,70,0,0,0,6,45,23,42,,0,12,0,0,,11,17,16,,0,,,,122,412,
2005,10,23,0,90,31,0,0,0,15,15,18,35,,0,23,0,0,,49,38,24,,0,,,,147,508,
2006,10,31,0,67,16,0,0,0,17,8,11,23,,0,12,0,0,,47,31,12,,0,,,,134,409,
2007,10,1,0,23,7,0,0,0,0,4,4,15,,0,3,0,0,,20,9,2,,0,,,,46,134,
2008,10,42,0,32,18,0,0,0,5,3,0,17,,0,9,0,0,,25,16,19,,1,,,,81,268,
2009,10,1,0,20,5,0,0,0,0,4,0,19,,1,18,0,0,,17,9,26,,0,,,0,32,152,
2010,10,14,0,35,35,0,0,0,0,22,0,55,,0,46,0,0,,51,45,0,,5,,,52,126,486,
2011,10,6,0,12,0,0,0,0,1,6,0,33,,0,12,0,0,,10,23,0,,0,,,16,42,161,
2012,10,5,0,26,3,0,0,0,2,7,4,33,,0,18,0,0,0,27,35,3,,0,,50,117,53,383,
2013,10,18,0,11,3,17,0,0,2,2,0,11,,0,10,0,0,0,19,10,1,,0,,28,75,31,238,
2014,10,2,0,2,8,2,0,0,10,7,35,0,,0,59,0,1,0,16,3,0,,0,,29,78,21,273,
2015,10,0,0,0,2,0,0,0,0,2,62,0,,0,12,0,0,0,16,3,0,,0,,17,65,11,190,
2016,10,1,0,3,7,6,0,0,18,9,73,1,,0,17,0,1,0,26,10,0,,0,,17,57,93,339,
2017,10,1,0,0,3,3,0,0,0,3,50,2,,0,10,0,0,0,5,9,0,,0,,14,64,73,237,
2018,10,0,0,0,3,3,0,0,3,7,92,2,,0,19,0,1,0,9,13,0,,0,,9,42,93,296,
2019,10,0,0,2,4,0,0,0,2,44,4,0,6,0,6,0,0,0,8,6,0,,0,18,49,43,93,245,
2020,10,2,0,6,2,0,0,0,4,4,21,0,15,0,30,0,0,0,12,11,0,0,0,23,46,54,13,243,
