Year,Region,AH,AZ,BA,BZ,CE,CP,GE,GH,IB,IG,IW,LG,MA,PH,PO,PP,PQ,RR,SA,SD,SH,SL,SM,SN,SW,WH,Total,,,,,II
2003,2,87,0,129,29,0,0,0,23,61,0,51,,0,188,0,0,,109,46,14,,0,,,,300,1037,,,,,
2004,2,41,0,139,80,0,0,0,19,113,9,54,,0,173,0,0,,55,15,33,,0,,,,186,917,,,,,
2005,2,34,0,55,29,0,0,0,9,31,1,27,,0,44,0,0,,41,27,13,,0,,,,78,389,,,,,
2006,2,65,0,98,38,0,0,0,14,52,8,37,,0,67,0,0,,34,23,27,,0,,,,128,591,,,,,
2007,2,61,0,110,6,0,0,0,19,59,10,30,,0,126,0,0,,63,5,18,,0,,,,217,724,,,,,
2008,2,28,0,123,50,0,0,0,20,29,1,54,,5,97,0,0,,134,19,0,,0,,,,244,804,,,,,
2009,2,29,0,137,21,0,0,0,21,37,0,42,,3,88,0,0,,120,7,0,,0,,,37,267,809,,,,,
2010,2,24,0,93,27,0,0,0,7,20,1,17,,9,73,0,0,,79,41,0,,0,,,219,209,819,,,,,
2011,2,2,0,32,6,0,0,0,4,11,4,23,,0,44,0,0,,58,8,1,,0,,,133,196,522,,,,,
2012,2,7,0,28,7,0,0,0,3,8,6,4,,0,20,0,0,0,34,4,0,,0,,22,50,38,231,,,,,
2013,2,14,0,26,6,0,0,0,1,9,22,10,,6,16,0,0,0,51,11,1,,0,,35,36,83,327,,,,,
2014,2,6,0,1,4,0,0,0,2,7,10,13,,4,7,0,0,0,3,5,3,,0,,22,13,21,121,,,,,
2015,2,7,0,1,2,0,0,0,0,13,12,27,,0,9,0,0,0,10,6,0,,0,,15,10,38,150,,,,,
2016,2,0,0,0,0,0,0,0,0,0,7,19,,3,1,0,0,0,6,0,0,,0,,3,12,5,56,,,,,
2017,2,7,0,12,8,0,0,0,1,7,7,16,,2,12,0,0,0,12,1,0,,0,,5,6,17,113,,,,,
2018,2,5,0,8,10,0,0,0,0,15,16,24,,5,10,0,0,0,2,1,0,,0,,12,14,35,157,,,,,
2019,2,1,0,0,0,0,0,0,0,1,10,5,0,0,3,0,0,0,4,0,0,,0,0,1,0,12,37,,,,,
2020,2,6,0,0,0,0,0,0,0,4,0,5,0,0,3,0,0,0,0,0,1,0,0,0,6,0,14,39,,,,,
