Year,Region,AH,AZ,BA,BZ,CE,CP,GE,GH,IB,IG,IW,LG,MA,PH,PO,PP,PQ,RR,SA,SD,SH,SL,SM,SN,SW,WH,Total,II
2003,3,43,0,67,104,0,0,0,97,26,0,97,,0,9,0,0,,233,136,10,,0,,,,89,911,*
2004,3,38,0,23,233,0,0,0,84,29,18,70,,0,NA,0,0,,230,103,3,,0,,,,140,976,
2005,3,49,0,27,105,0,0,0,104,14,0,58,,0,9,0,0,,125,97,13,,0,,,,174,775,
2006,3,68,0,35,110,0,0,0,116,48,11,69,,0,42,0,0,,122,87,23,,7,,,,299,1037,*
2007,3,48,2,20,87,0,0,0,85,10,4,50,,0,3,0,0,,75,31,4,,0,,,,190,609,
2008,3,61,0,13,68,0,0,0,123,14,2,63,,0,26,0,0,,116,19,4,,1,,,,233,743,
2009,3,104,0,8,109,0,0,0,113,25,1,50,,0,22,0,0,,135,26,19,,0,,,2,196,810,
2010,3,111,0,52,177,27,0,0,123,4,11,92,,0,36,0,0,,118,37,8,,0,,,6,177,979,
2011,3,79,2,97,98,0,0,0,73,14,6,63,,0,56,0,0,,68,29,8,,0,,,2,163,758,
2012,3,106,0,25,117,5,0,0,119,20,27,50,,0,62,0,0,0,145,35,5,,0,,49,40,199,1004,*
2013,3,93,3,26,101,15,0,0,62,23,29,37,,0,18,0,0,0,53,14,2,,0,,43,0,78,594,
2014,3,71,0,7,96,43,0,0,47,7,18,29,,0,31,0,4,0,52,26,4,,0,,49,9,88,581,
2015,3,65,0,4,120,5,0,0,55,8,9,53,,0,55,0,0,0,56,26,7,,0,,67,0,107,637,
2016,3,57,2,12,106,12,0,0,72,8,0,37,,0,33,0,0,0,55,25,7,,0,,82,18,98,624,
2017,3,20,3,3,177,33,0,0,72,13,0,28,,0,48,0,0,0,49,37,0,,0,,98,38,106,725,
2018,3,7,5,5,178,13,0,4,50,3,2,23,,0,63,0,0,0,52,46,0,,0,,45,32,80,608,*
2019,3,26,7,2,128,12,0,0,46,2,0,14,24,0,64,0,0,0,25,51,1,,0,5,43,44,83,577,
2020,3,16,8,2,57,0,0,0,29,1,0,9,0,0,38,0,0,0,7,9,3,0,0,0,23,46,40,288,
