Year,Region,AH,AZ,BA,BZ,CE,CP,GE,GH,IB,IG,IW,LG,MA,PH,PO,PP,PQ,RR,SA,SD,SH,SL,SM,SN,SW,WH,Total,II
2003,4,110,0,96,205,49,0,0,26,13,138,1,,0,76,0,0,,106,137,4,,0,,,,303,1264,
2004,4,60,0,87,343,36,0,0,28,4,144,4,,0,58,0,0,,129,71,13,,0,,,,329,1300,
2005,4,66,0,26,335,16,0,0,20,11,139,4,,0,64,0,0,,88,61,0,,0,,,,274,1104,
2006,4,43,0,12,204,32,0,0,55,5,100,2,,0,101,1,0,,82,82,6,,0,,,,238,963,
2007,4,23,0,34,77,78,0,0,53,21,85,5,,0,80,0,0,,50,54,4,,0,,,,140,704,
2008,4,31,0,38,106,92,0,0,38,27,56,0,,0,61,0,0,,48,70,0,,0,,,,90,657,
2009,4,48,0,33,137,142,0,1,89,66,70,4,,0,62,0,0,,82,79,0,,2,,,0,214,1029,*
2010,4,13,0,41,159,70,0,0,17,21,58,0,,0,22,0,0,,28,36,0,,0,,,63,102,630,
2011,4,20,0,8,64,65,0,0,2,0,50,0,,0,16,0,0,,13,13,0,,0,,,86,55,392,
2012,4,13,0,10,48,92,0,0,2,7,27,6,,0,5,0,0,1,6,29,1,,1,,47,104,47,446,
2013,4,22,0,40,41,102,0,0,2,9,16,0,,0,3,0,0,0,11,12,0,,0,,21,24,48,351,
2014,4,44,0,30,29,72,0,0,2,17,17,2,,0,2,0,0,0,24,11,6,,0,,21,12,115,404,
2015,4,45,0,24,68,27,0,0,3,10,0,0,,0,0,0,0,0,19,8,0,,0,,22,20,73,319,
2016,4,14,0,7,20,17,0,0,0,11,0,0,,0,0,0,0,0,13,7,0,,0,,20,41,59,209,
2017,4,4,2,21,60,8,0,0,1,0,1,5,,0,0,0,0,0,11,8,0,,0,,11,14,35,181,
2018,4,0,5,18,29,0,0,0,0,13,0,3,,0,0,0,0,0,13,0,0,,0,,6,11,30,128,
2019,4,0,0,15,35,0,0,0,0,6,0,8,1,0,0,0,0,0,6,0,0,,0,0,3,21,31,126,
2020,4,0,4,3,25,0,0,0,0,0,0,7,10,0,0,0,2,0,3,6,0,0,0,6,4,13,3,86,
