Year,Region,AH,AZ,BA,BZ,CE,CP,GE,GH,IB,IG,IW,LG,MA,PH,PO,PP,PQ,RR,SA,SD,SH,SL,SM,SN,SW,WH,Total,II
2003,5,114,0,168,103,1,0,0,53,8,39,95,,0,27,0,0,,125,59,76,,42,,,,685,1595,
2004,5,52,0,213,154,3,0,0,60,9,38,48,,0,34,0,0,,144,54,62,,41,,,,813,1725,*
2005,5,75,2,90,97,1,0,0,44,5,47,25,,0,24,0,3,,111,45,44,,43,,,,842,1498,
2006,5,57,0,83,96,0,0,0,39,4,52,28,,0,27,0,1,,49,88,98,,49,,,,898,1569,
2007,5,42,8,112,129,9,0,0,32,22,17,45,,0,2,0,0,,73,59,88,,8,,,,870,1516,*
2008,5,34,0,94,72,0,0,0,38,4,19,50,,0,0,0,0,,73,38,6,,4,,,,673,1105,
2009,5,62,0,113,70,0,0,0,43,19,22,64,,0,1,0,0,,120,84,26,,21,,,0,691,1336,
2010,5,87,0,135,119,17,0,0,66,42,72,42,,0,19,0,2,,147,145,65,,23,,,51,785,1817,*
2011,5,36,0,80,79,0,0,0,27,0,29,25,,0,6,0,2,,105,80,30,,15,,,51,683,1248,
2012,5,33,0,102,66,0,0,0,34,14,55,47,,0,10,0,0,0,93,149,44,,0,,167,65,453,1332,
2013,5,42,0,76,61,4,0,0,27,27,10,13,,0,27,0,0,0,67,107,10,,0,,166,47,533,1217,
2014,5,71,0,94,73,0,0,0,13,39,18,34,,0,15,0,0,0,145,122,8,,0,,236,8,559,1475,
2015,5,43,0,94,68,2,0,0,6,39,23,9,,0,30,0,0,0,79,76,38,,0,,221,38,458,1224,
2016,5,69,5,107,75,0,0,4,24,85,68,39,,0,34,0,0,0,141,103,46,,0,,218,25,640,1683,*
2017,5,44,6,147,95,3,0,0,9,71,24,20,,0,3,0,0,0,217,69,27,,0,,243,1,476,1455,
2018,5,17,0,109,99,0,0,0,15,67,16,31,,0,13,0,10,0,156,63,20,,0,,220,25,383,1244,
2019,5,35,0,89,34,0,0,0,23,132,9,24,27,0,9,0,0,0,108,42,5,,0,16,196,0,251,1000,
2020,5,8,2,26,72,0,0,0,23,37,0,20,44,0,2,0,0,0,65,48,0,0,0,23,56,0,112,538,
