Year,Region,AH,AZ,BA,BZ,CE,CP,GE,GH,IB,IG,IW,LG,MA,PH,PO,PP,PQ,RR,SA,SD,SH,SL,SM,SN,SW,WH,Total,II
2003,7,98,0,34,277,0,0,0,397,207,108,33,,0,152,0,0,,147,237,48,,0,,,,1415,3153,
2004,7,59,6,95,353,8,0,0,300,136,64,19,,0,118,0,0,,97,153,47,,1,,,,1355,2811,
2005,7,173,9,102,476,7,0,0,383,204,90,10,,0,69,0,0,,126,172,24,,0,,,,1660,3505,
2006,7,159,0,73,361,6,0,0,371,230,100,10,,0,54,0,0,,151,138,47,,0,,,,1384,3084,
2007,7,178,0,123,298,1,0,0,331,376,26,11,,0,57,0,1,,251,107,9,,0,,,,1211,2980,
2008,7,199,5,48,266,3,0,2,319,338,78,0,,0,107,0,0,,175,132,17,,0,,,,861,2550,
2009,7,200,0,91,300,8,0,0,261,364,25,0,,0,77,0,0,,142,127,14,,3,,,22,1017,2651,
2010,7,155,0,145,234,0,0,0,200,417,47,5,,0,83,0,0,,158,131,10,,0,,,67,921,2573,
2011,7,143,1,65,201,0,0,0,193,360,62,4,,0,109,0,0,,164,145,104,,0,,,31,715,2297,
2012,7,88,0,86,105,0,0,0,141,302,13,1,,0,45,0,0,0,192,90,41,,4,,152,22,595,1877,
2013,7,73,0,110,108,6,0,0,156,193,4,11,,0,36,0,1,0,239,101,34,,6,,116,13,608,1815,
2014,7,146,2,85,137,6,0,0,192,227,8,0,,0,43,0,0,0,180,105,42,,0,,83,22,614,1892,*
2015,7,293,0,84,38,0,0,0,130,256,13,0,,0,32,0,0,0,130,31,37,,0,,155,14,459,1618,
2016,7,174,2,96,67,0,0,0,107,260,7,0,,0,20,0,0,0,135,75,48,,0,,182,5,372,1550,
2017,7,88,10,44,58,26,0,2,94,297,18,8,,0,11,0,25,0,162,75,15,,0,,157,49,365,1504,*
2018,7,64,2,29,33,22,0,0,42,162,9,6,,0,16,0,10,0,102,37,1,,1,,111,11,228,886,
2019,7,70,0,19,0,8,0,0,26,43,0,0,0,0,5,0,0,0,39,41,2,,3,0,96,7,141,470,
2020,7,19,0,4,3,3,0,0,14,21,0,0,0,2,0,0,0,0,19,26,0,0,0,0,30,0,47,188,
