Year,Region,AH,AZ,BA,BZ,CE,CP,GE,GH,IB,IG,IW,LG,MA,PH,PO,PP,PQ,RR,SA,SD,SH,SL,SM,SN,SW,WH,Total,II
2003,9,34,3,12,78,0,0,0,107,14,9,14,,0,98,0,0,,94,33,49,,0,,,,377,922,
2004,9,18,0,35,20,0,0,0,61,9,4,10,,0,69,0,0,,88,37,6,,0,,,,247,604,
2005,9,8,11,2,35,0,0,0,65,11,5,7,,0,67,0,0,,91,33,32,,0,,,,209,576,
2006,9,20,0,59,60,0,0,0,131,23,26,26,,0,113,0,0,,140,58,31,,0,,,,503,1190,
2007,9,17,2,37,13,0,0,0,113,23,19,23,,0,154,0,1,,138,41,5,,0,,,,402,988,
2008,9,32,6,20,24,0,0,0,93,21,17,22,,0,162,0,0,,144,45,5,,0,,,,323,914,
2009,9,35,9,50,16,0,0,0,83,20,2,20,,0,126,0,0,,122,91,30,,0,,,0,363,967,
2010,9,22,8,12,0,0,0,0,47,19,1,1,,0,131,0,0,,65,42,12,,0,,,9,212,581,
2011,9,20,18,27,4,0,0,0,19,41,7,1,,0,207,2,2,,75,51,24,,0,,,9,216,723,
2012,9,13,22,30,5,0,0,0,30,17,13,0,,0,230,0,6,0,47,102,15,,0,,117,6,242,895,
2013,9,31,22,22,6,0,0,0,31,25,7,2,,0,82,0,7,3,32,40,0,,0,,97,9,196,612,
2014,9,49,5,28,9,0,0,0,9,14,9,0,,0,60,0,6,0,27,36,6,,0,,58,0,211,527,
2015,9,55,12,10,10,0,0,0,16,3,6,1,,0,74,0,3,1,39,40,1,,0,,123,12,210,616,
2016,9,33,13,0,5,0,0,8,15,23,0,0,,0,49,0,7,0,53,55,3,,0,,141,3,260,668,
2017,9,26,18,9,2,0,0,3,44,51,6,14,,0,45,0,1,2,52,52,0,,0,,78,5,189,597,
2018,9,3,25,22,0,0,0,2,75,47,0,29,,0,28,0,7,0,51,43,0,,0,,108,1,192,633,
2019,9,24,32,31,0,0,0,5,75,20,0,27,53,0,23,10,10,0,86,59,2,,0,32,107,14,173,773,
2020,9,10,2,0,0,0,0,2,29,20,0,10,62,0,7,0,0,0,18,12,0,3,0,29,65,4,60,333,
