Year,AH,AZ,BA,BZ,CE,CP,GE,GH,IB,IG,IW,LG,MA,PH,PO,PP,PQ,RR,SA,SD,SH,SL,SM,SN,SW,WH,Total,Reg
2003,13,0,32,38,2,0,0,62,24,22,20,,0,12,0,0,,43,26,10,,0,,,,196,500,3
2004,26,0,29,45,10,0,0,42,11,31,10,,0,20,1,0,,42,34,20,,6,,,,223,550,5
2005,15,12,26,57,10,0,0,63,18,20,7,,0,31,0,0,,50,16,14,,0,,,,258,597,8
2006,16,0,14,52,0,0,0,43,13,11,6,,0,26,0,0,,11,13,14,,7,,,,126,352,3
2007,14,7,6,27,5,0,0,16,20,6,4,,0,2,0,0,,23,8,18,,2,,,,154,312,5
2008,8,2,11,57,8,0,0,32,28,12,4,,0,38,0,0,,71,16,8,,0,,,,178,473,8
2009,16,0,6,38,28,0,0,29,18,14,4,,0,28,0,0,,30,21,0,,2,,,0,96,330,4
2010,21,0,19,34,14,0,0,38,21,24,0,,0,14,0,0,,36,31,5,,4,,,21,107,389,5
2011,21,6,16,55,0,0,0,32,26,9,0,,0,29,0,0,,62,18,30,,0,,,41,190,535,8
2012,16,0,2,39,4,0,0,30,4,8,8,,0,6,0,0,0,31,9,0,,0,,0,38,44,293,3
2013,31,2,27,48,0,0,0,40,35,12,2,,0,8,0,0,0,44,14,6,,0,,0,22,205,496,6
2014,43,2,18,45,6,0,0,34,27,8,0,,0,6,0,0,0,34,22,22,,0,,0,0,141,408,7
2015,4,0,29,10,12,0,0,3,12,26,0,,0,28,0,0,0,26,8,0,,0,,16,34,43,251,1
2016,10,2,18,21,0,0,2,23,34,40,6,,0,4,0,0,0,48,17,15,,0,,0,6,119,365,5
2017,18,4,2,16,12,0,2,12,48,18,0,,0,6,0,0,0,32,8,0,,0,,16,18,47,259,7
2018,2,2,2,22,3,0,0,14,14,9,6,,0,7,0,0,0,4,10,0,,0,,6,11,21,133,3
2019,12,4,8,28,0,0,0,30,18,4,4,0,0,14,0,0,0,49,16,8,,0,0,22,6,91,315,6
2020,,,,,No II Held due to Covid,,,,,,,,,,,,,,,,,,,,,,,
